StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,No_or_YesBlock_1,Satisf_NA_1,stress_manageY_1,time_manageY_1,satis_with_communiY_1,aware_with_nanY,nan_grades_1,nan_overall_expY_1,suggest_new_nanY,input_for _new_nan,reson_on_lack,reson_on_lack_5_TEXT,is_nan_positive,satis_on_experience_1,satis_on_performance_1,aware_of_nan,if_change_yes_no,suggest_new_nan,age,gender,years_spent,local_or_inter,scl_dpt,major
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I voluntarily consent to participate in this survey, understanding it involves answering questions about my academic journey and engagement in support services.","How often do you utilise non-academic support services in UM6P, such as counselling, career services,  health centres, learning centres, sports centres, club activities, or other non-academic support? - Please drag the slider",Please rate your satisfaction with the non-academic support services you have utilized. - Please drag the slider,Please rate how the non-academic support helps you manage your stress level. - Please drag the slider,Please rate your ability to manage your time effectively to balance academic and non-academic commitments. - Please drag the slider,Please rate your satisfaction with communication channels for accessing academic and non-academic support services. - Please drag the slider,Are you aware of all the available academic and non-academic support services the institution provides?,Please rate how these support services contribute to your grades in class. - Please drag the slider,To what extent do non-academic support services contribute to your overall experience? - Please drag the slider,Would you be interested in the introduction of new academic support services? (Yes/No) :,Please provide suggestions for new academic support services or improvements to existing ones.,Why do you engage infrequently in non-academic support services? (Select the most relevant option) - Selected Choice,Why do you engage infrequently in non-academic support services? (Select the most relevant option) - Other (please specify) - Text,Do you believe increased engagement in non-academic support services would positively impact your academic performance? (Yes/No),Please rate your satisfaction with your overall academic experience. - Please drag this slider,How satisfied are you in your academic performance despite limited engagement in non-academic support services? - Please drag this slider,"Are you aware of the non-academic support services the institution provides, even if you don't actively engage in them? (Yes/No)","If there were changes or improvements to non-academic support services, would you be more likely to engage with them? (Yes/No)",Please suggest how non-academic support services could better meet your needs or preferences.,What is your age group?,What is your gender?,How many years have you spent in UM6P?,Are you an international student or a local student?,"What school/department do you belong to? (FGSES, SCI, ABS etc.)","What is your major of study? (International Relations, Political Sciences, CI, MIM etc.)"
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID31""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID24_5_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID7_TEXT""}"
2023-12-13 21:27:57,2023-12-13 21:28:19,Survey Preview,,100,22,True,2023-12-13 21:28:20,R_2j9BlZXHvvO8TMR,,,,,34.0663,-6.817,preview,EN,,6,,,,,,,,,,,,,,,,,,,,,,,
2023-12-13 21:29:12,2023-12-13 21:29:25,Survey Preview,,100,12,True,2023-12-13 21:29:26,R_2exZkiGNBe930zV,,,,,34.0663,-6.817,preview,EN,,2,,,,,,,,,,,,,,,,,,,,,,,
2023-12-13 21:30:38,2023-12-13 21:30:56,Survey Preview,,100,17,True,2023-12-13 21:30:56,R_2MLEQ5Xj2enSZ2h,,,,,34.0663,-6.817,preview,EN,,2,,,,,,,,,,,,,,,,,,,,,,,
2023-12-13 21:31:06,2023-12-13 21:31:22,Survey Preview,,100,16,True,2023-12-13 21:31:23,R_2EdAaJQ5uBAik8N,,,,,34.0663,-6.817,preview,EN,,6,,,,,,,,,,,,,,,,,,,,,,,
2023-12-16 20:32:46,2023-12-16 20:33:54,Survey Preview,,100,68,True,2023-12-16 20:33:55,R_2DUnOhMC8MDS2AT,,,,,34.0663,-6.817,preview,EN,,2,,,,,,,,,,,,,,,,,,,,,,,
2023-12-17 15:39:32,2023-12-17 15:39:45,Survey Preview,,100,13,True,2023-12-17 15:39:48,R_12bzCpAv42sGVQV,,,,,34.0663,-6.817,preview,EN,,4,,,,,No,,,,,,,,,,,,,,,,,,
2023-12-17 18:03:35,2023-12-17 18:08:38,Survey Preview,,100,302,True,2023-12-17 18:08:39,R_2G2HY74rNn36Slz,,,,,34.0663,-6.817,preview,EN,I agree,3,,,,,,,,,,Time constraints,,Yes,5,5,No,Yes,,21 to 24 years old,Male,Less than a year,Am a local student,sci,collective intelligence
2023-12-18 12:06:46,2023-12-18 12:12:02,Survey Preview,,100,315,True,2023-12-18 12:12:03,R_2GlXEfQg5ogD24H,,,,,34.0663,-6.817,preview,EN,I agree,3,,,,,,,,,,,,,,,,,,,,,,,
